price_eur	year	km_age	mark
22350	2019	23144	Peugeot
22849	2021	22999	BMW
22830	2018	22990	Lotus
25865	2022	22730	Peugeot
22820	2021	22721	Mercedes-Benz
25850	2021	22660	Volkswagen
22820	2018	22600	Mercedes-Benz
22840	2019	22299	Peugeot
25850	2021	22202	Peugeot
25850	2021	22200	Hyundai
22840	2021	22185	Seat
25850	2020	22000	Peugeot
25865	2022	21940	Hyundai
22830	2021	21924	Ford
22340	2021	21900	Skoda
22858	2021	21469	Volkswagen
22840	2021	21432	Audi
22860	2019	21210	Volkswagen
25850	2021	21000	Audi
22820	2017	20921	Opel
22849	2019	20900	Peugeot
25850	2021	20807	Peugeot
25850	2020	20700	Mercedes-Benz
31860	2021	20666	Volkswagen
25850	2021	20520	Mercedes-Benz
22850	2020	20400	Volkswagen
25866	2019	20386	Volkswagen
24490	2021	20130	Seat
22800	2018	20124	Volkswagen
25870	2020	20000	BMW
25850	2021	20000	Ford
21819	2021	20000	Smart
31840	2020	19990	Kia
22824	2021	19990	Volkswagen
69550	2021	19970	Volkswagen
22370	2021	19950	Seat
25875	2019	19772	Ford
25850	2021	19650	Volkswagen
22860	2017	19350	Volkswagen
22650	2019	19047	Mercedes-Benz
26750	2020	19005	Volkswagen
22800	2021	18546	BMW
22850	2022	18517	BMW
22849	2019	18500	Mazda
25873	2020	18143	Mazda
25850	2020	18000	Opel
20830	2020	18000	Volkswagen
31859	2021	17900	Mazda
22440	2018	17800	Mazda
25850	2020	17730	Mazda
22850	2020	17498	Ford
31440	2022	17280	Mazda
22820	2021	17200	Mazda
25871	2021	16887	Mazda
25850	2021	16850	Hyundai
22840	2019	16798	Triumph
28000	2021	16499	BMW
31840	2022	16423	Renault
22840	2019	16369	Volkswagen
22830	2018	16339	Hyundai
22800	2019	16300	DS_Automobiles
22800	2020	16300	Skoda
22820	2020	16000	Skoda
25850	2021	16000	Skoda
22800	2020	15800	Volkswagen
31840	2022	15759	Opel
22820	2022	15700	Abarth
22800	2021	15423	Ford
22850	2021	15398	Volkswagen
25850	2021	15373	Audi
22840	2022	15155	Renault
